product_type,product_name,sku,video_url,gallary_id,price,discount_price,unit_id,product_weight,brand_id,tax_id,product_categories,products_attributes,combination_sku,product_variation,variation_price,variation_images
variable,"Variable Product 1",sku-v-000-1,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",175.00,75.25,pcs,4392,brand1,GST,"Cat1, Sub Cat1","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-1-1, sku-v-000-1-2, sku-v-000-1-3, sku-v-000-1-4, sku-v-000-1-5, sku-v-000-1-6, sku-v-000-1-7, sku-v-000-1-8, sku-v-000-1-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","176.00, 100.00, 67.00, 54.00, 26.00, 55.00, 60.00, 46.00, 76.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 2",sku-v-000-2,https://www.youtube.com/watch?v=kbxOeOZhmIc,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",677.00,555.14,pcs,298,brand1,GST,"Cat3, Sub Cat4","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-2-1, sku-v-000-2-2, sku-v-000-2-3, sku-v-000-2-4, sku-v-000-2-5, sku-v-000-2-6, sku-v-000-2-7, sku-v-000-2-8, sku-v-000-2-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","678.00, 14.00, 31.00, 85.00, 69.00, 62.00, 52.00, 81.00, 83.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 3",sku-v-000-3,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",170.00,120.70,pcs,3196,brand1,GST,"Cat2, Sub Cat3","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-3-1, sku-v-000-3-2, sku-v-000-3-3, sku-v-000-3-4, sku-v-000-3-5, sku-v-000-3-6, sku-v-000-3-7, sku-v-000-3-8, sku-v-000-3-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","171.00, 8.00, 96.00, 14.00, 29.00, 36.00, 73.00, 38.00, 103.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 4",sku-v-000-4,https://www.youtube.com/watch?v=kbxOeOZhmIc,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",728.00,458.64,pcs,4023,brand1,GST,"Cat1, Sub Cat3","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-4-1, sku-v-000-4-2, sku-v-000-4-3, sku-v-000-4-4, sku-v-000-4-5, sku-v-000-4-6, sku-v-000-4-7, sku-v-000-4-8, sku-v-000-4-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","729.00, 55.00, 77.00, 61.00, 70.00, 71.00, 106.00, 60.00, 27.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 5",sku-v-000-5,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",860.00,679.40,pcs,1715,brand1,GST,"Cat1, Sub Cat3","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-5-1, sku-v-000-5-2, sku-v-000-5-3, sku-v-000-5-4, sku-v-000-5-5, sku-v-000-5-6, sku-v-000-5-7, sku-v-000-5-8, sku-v-000-5-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","861.00, 81.00, 88.00, 33.00, 46.00, 41.00, 81.00, 64.00, 80.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 6",sku-v-000-6,https://www.youtube.com/watch?v=kbxOeOZhmIc,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",608.00,528.96,pcs,4500,brand1,GST,"Cat1, Sub Cat3","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-6-1, sku-v-000-6-2, sku-v-000-6-3, sku-v-000-6-4, sku-v-000-6-5, sku-v-000-6-6, sku-v-000-6-7, sku-v-000-6-8, sku-v-000-6-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","609.00, 11.00, 16.00, 52.00, 77.00, 54.00, 75.00, 89.00, 108.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 7",sku-v-000-7,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",83.00,65.57,pcs,1912,brand1,GST,"Cat1, Sub Cat2","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-7-1, sku-v-000-7-2, sku-v-000-7-3, sku-v-000-7-4, sku-v-000-7-5, sku-v-000-7-6, sku-v-000-7-7, sku-v-000-7-8, sku-v-000-7-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","84.00, 89.00, 19.00, 90.00, 22.00, 62.00, 40.00, 97.00, 15.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 8",sku-v-000-8,https://www.youtube.com/watch?v=kbxOeOZhmIc,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",920.00,736.00,pcs,990,brand1,GST,"Cat1, Sub Cat2","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-8-1, sku-v-000-8-2, sku-v-000-8-3, sku-v-000-8-4, sku-v-000-8-5, sku-v-000-8-6, sku-v-000-8-7, sku-v-000-8-8, sku-v-000-8-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","921.00, 32.00, 90.00, 21.00, 55.00, 60.00, 80.00, 23.00, 80.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 9",sku-v-000-9,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",163.00,96.17,pcs,208,brand1,GST,"Cat3, Sub Cat2, Sub Cat5","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-9-1, sku-v-000-9-2, sku-v-000-9-3, sku-v-000-9-4, sku-v-000-9-5, sku-v-000-9-6, sku-v-000-9-7, sku-v-000-9-8, sku-v-000-9-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","164.00, 22.00, 11.00, 10.00, 26.00, 31.00, 91.00, 27.00, 69.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 10",sku-v-000-10,https://www.youtube.com/watch?v=kbxOeOZhmIc,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",675.00,661.50,pcs,704,brand1,GST,"Cat2, Sub Cat4","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-10-1, sku-v-000-10-2, sku-v-000-10-3, sku-v-000-10-4, sku-v-000-10-5, sku-v-000-10-6, sku-v-000-10-7, sku-v-000-10-8, sku-v-000-10-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","676.00, 85.00, 4.00, 65.00, 59.00, 40.00, 20.00, 84.00, 30.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 11",sku-v-000-11,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",245.00,80.85,pcs,1046,brand1,GST,"Cat3, Sub Cat4","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-11-1, sku-v-000-11-2, sku-v-000-11-3, sku-v-000-11-4, sku-v-000-11-5, sku-v-000-11-6, sku-v-000-11-7, sku-v-000-11-8, sku-v-000-11-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","246.00, 86.00, 85.00, 103.00, 14.00, 80.00, 39.00, 60.00, 54.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 12",sku-v-000-12,https://www.youtube.com/watch?v=kbxOeOZhmIc,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",431.00,155.16,pcs,1030,brand1,GST,"Cat3, Sub Cat4","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-12-1, sku-v-000-12-2, sku-v-000-12-3, sku-v-000-12-4, sku-v-000-12-5, sku-v-000-12-6, sku-v-000-12-7, sku-v-000-12-8, sku-v-000-12-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","432.00, 38.00, 17.00, 80.00, 13.00, 106.00, 33.00, 84.00, 10.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
variable,"Variable Product 13",sku-v-000-13,,"202109054758category900x900.jpg, 202109054758category900x900.jpg, 202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg",719.00,280.41,pcs,1234,brand1,GST,"Cat3, Sub Cat3","Size|Small-Medium-Large, Color|Red-Black-Blue","sku-v-000-13-1, sku-v-000-13-2, sku-v-000-13-3, sku-v-000-13-4, sku-v-000-13-5, sku-v-000-13-6, sku-v-000-13-7, sku-v-000-13-8, sku-v-000-13-9","Small-Red, Small-Black, Small-Blue, Medium-Red, Medium-Black, Medium-Blue, Large-Red, Large-Black, Large-Blue","720.00, 85.00, 62.00, 81.00, 15.00, 78.00, 34.00, 100.00, 55.00","202109050158product_1_900x900.jpg, 202109050215product_2_900x900.jpg, 202109050235product_3_900x900.jpg, 202109052217product_4_900x900.jpg, 202109052232product_5_900x900.jpg, 202109052248product_6_900x900.jpg, 202109052304product_7_900x900.jpg, 202109081240product_8_900x900.jpg, 202109081253product_9_900x900.jpg"
